"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.05.2021","10.100,0","10.200,0","10.200,0","10.100,0","23,15K","-1,66%"
"28.05.2021","10.270,0","9.775,0","10.270,0","9.500,0","534,35K","14,11%"
"27.05.2021","9.000,0","10.190,0","10.200,0","9.000,0","1,00M","-9,18%"
"26.05.2021","9.910,0","9.950,0","10.000,0","9.795,0","181,57K","-0,05%"
"25.05.2021","9.915,0","10.380,0","10.380,0","9.900,0","188,75K","-4,48%"
"24.05.2021","10.380,0","10.500,0","10.500,0","10.380,0","46,52K","-3,71%"
"21.05.2021","10.780,0","11.000,0","11.010,0","10.720,0","337,56K","-1,82%"
"20.05.2021","10.980,0","10.500,0","10.980,0","10.000,0","452,07K","2,62%"
"19.05.2021","10.700,0","10.850,0","10.900,0","10.660,0","52,75K","-2,73%"
"18.05.2021","11.000,0","11.200,0","11.220,0","11.000,0","57,02K","-2,48%"
"14.05.2021","11.280,0","11.360,0","11.360,0","11.200,0","89,23K","2,08%"
"13.05.2021","11.050,0","11.110,0","11.130,0","11.050,0","56,39K","-0,99%"
"12.05.2021","11.160,0","11.260,0","11.330,0","11.050,0","239,45K","-2,11%"
"11.05.2021","11.400,0","11.400,0","11.800,0","11.360,0","259,45K","-3,39%"
"10.05.2021","11.800,0","11.480,0","11.800,0","11.380,0","304,14K","4,42%"
"07.05.2021","11.300,0","10.880,0","11.300,0","10.880,0","184,62K","6,60%"
"06.05.2021","10.600,0","10.400,0","10.800,0","10.120,0","242,99K","4,02%"
"05.05.2021","10.190,0","10.300,0","10.300,0","10.140,0","89,72K","1,70%"
"04.05.2021","10.020,0","10.000,0","10.200,0","9.700,0","199,62K","0,91%"
"03.05.2021","9.930,0","10.500,0","10.690,0","9.900,0","164,95K","-6,23%"
"30.04.2021","10.590,0","10.810,0","10.970,0","10.500,0","190,87K","-2,04%"
"29.04.2021","10.810,0","11.190,0","11.190,0","10.810,0","66,39K","-2,08%"
"28.04.2021","11.040,0","11.000,0","11.090,0","10.750,0","483,63K","1,28%"
"27.04.2021","10.900,0","11.000,0","11.150,0","10.900,0","209,02K","-0,91%"
"26.04.2021","11.000,0","11.000,0","11.330,0","11.000,0","223,59K","-2,48%"
"23.04.2021","11.280,0","11.340,0","11.340,0","11.280,0","16,29K","-0,62%"
"22.04.2021","11.350,0","11.360,0","11.400,0","11.310,0","175,10K","-0,44%"
"21.04.2021","11.400,0","11.430,0","11.480,0","11.300,0","16,36K","-0,26%"
"20.04.2021","11.430,0","11.400,0","11.500,0","11.300,0","558,33K","0,62%"
